,법정동,년,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
126,거여동,2017.0,19800.0,2388.3333333333335,2093.3333333333335,2289.0,3307.6666666666665,3606.0,2856.6666666666665,1919.0,961.0,321.0,53.333333333333336,4.666666666666667
127,거여동,2018.0,19744.666666666668,2337.6666666666665,2086.6666666666665,2248.6666666666665,3249.3333333333335,3531.3333333333335,2872.3333333333335,1971.6666666666667,1040.3333333333333,339.6666666666667,61.0,6.0
128,거여동,2019.0,19398.0,2214.0,2017.3333333333333,2181.6666666666665,3091.3333333333335,3453.0,2838.6666666666665,2067.3333333333335,1102.6666666666667,358.3333333333333,67.33333333333333,6.333333333333333
129,거여동,2020.0,20842.666666666668,2313.6666666666665,2161.6666666666665,2338.0,3246.3333333333335,3716.3333333333335,3056.0,2317.3333333333335,1188.3333333333333,416.0,81.66666666666667,7.333333333333333
130,거여동,2021.0,23453.333333333332,2786.6666666666665,2443.0,2511.3333333333335,3729.3333333333335,4119.666666666667,3391.0,2614.0,1292.0,478.0,85.66666666666667,2.6666666666666665
131,거여동,2022.0,26770.333333333332,3054.0,2882.3333333333335,2855.3333333333335,4089.0,4830.0,3937.3333333333335,2996.3333333333335,1461.3333333333333,566.3333333333334,94.33333333333333,4.0
132,견지동,2012.0,7953.0,278.0,381.0,960.0,1093.0,1271.0,1685.0,1208.0,750.0,231.0,70.0,26.0
133,견지동,2013.0,7856.0,286.0,373.0,881.0,1015.0,1254.0,1712.0,1215.0,779.0,244.0,69.0,28.0
134,견지동,2014.0,7894.0,264.0,441.0,933.0,967.0,1227.0,1683.0,1228.0,776.0,271.0,75.0,29.0
135,견지동,2015.0,7876.0,267.0,408.0,979.0,952.0,1147.0,1610.0,1325.0,786.0,287.0,84.0,31.0
136,견지동,2016.0,7741.0,272.0,322.0,968.0,919.0,1091.0,1601.0,1327.0,808.0,314.0,90.0,29.0
137,견지동,2017.0,7590.0,245.0,283.0,941.0,928.0,1051.0,1543.0,1318.0,842.0,321.0,86.0,32.0
138,견지동,2018.0,7420.0,242.0,246.0,933.0,935.0,967.0,1447.0,1377.0,827.0,325.0,87.0,34.0
139,견지동,2019.0,7227.0,212.0,237.0,882.0,889.0,940.0,1402.0,1367.0,810.0,362.0,89.0,37.0
140,견지동,2020.0,7256.0,188.0,209.0,880.0,942.0,962.0,1339.0,1399.0,834.0,369.0,90.0,44.0
141,견지동,2021.0,7197.0,185.0,225.0,932.0,942.0,915.0,1316.0,1398.0,809.0,403.0,69.0,3.0
142,견지동,2022.0,6728.0,169.0,200.0,970.0,947.0,867.0,1148.0,1314.0,712.0,356.0,43.0,2.0
143,경운동,2012.0,7953.0,278.0,381.0,960.0,1093.0,1271.0,1685.0,1208.0,750.0,231.0,70.0,26.0
144,경운동,2013.0,7856.0,286.0,373.0,881.0,1015.0,1254.0,1712.0,1215.0,779.0,244.0,69.0,28.0
145,경운동,2014.0,7894.0,264.0,441.0,933.0,967.0,1227.0,1683.0,1228.0,776.0,271.0,75.0,29.0
146,경운동,2015.0,7876.0,267.0,408.0,979.0,952.0,1147.0,1610.0,1325.0,786.0,287.0,84.0,31.0
147,경운동,2016.0,7741.0,272.0,322.0,968.0,919.0,1091.0,1601.0,1327.0,808.0,314.0,90.0,29.0
148,경운동,2017.0,7590.0,245.0,283.0,941.0,928.0,1051.0,1543.0,1318.0,842.0,321.0,86.0,32.0
149,경운동,2018.0,7420.0,242.0,246.0,933.0,935.0,967.0,1447.0,1377.0,827.0,325.0,87.0,34.0
150,경운동,2019.0,7227.0,212.0,237.0,882.0,889.0,940.0,1402.0,1367.0,810.0,362.0,89.0,37.0
151,경운동,2020.0,7256.0,188.0,209.0,880.0,942.0,962.0,1339.0,1399.0,834.0,369.0,90.0,44.0
152,경운동,2021.0,7197.0,185.0,225.0,932.0,942.0,915.0,1316.0,1398.0,809.0,403.0,69.0,3.0
153,경운동,2022.0,6728.0,169.0,200.0,970.0,947.0,867.0,1148.0,1314.0,712.0,356.0,43.0,2.0
154,계동,2012.0,5397.0,312.0,609.0,678.0,868.0,964.0,789.0,609.0,398.0,135.0,31.0,4.0
155,계동,2013.0,5219.0,288.0,563.0,619.0,815.0,977.0,774.0,589.0,418.0,142.0,29.0,5.0
156,계동,2014.0,5070.0,300.0,531.0,600.0,780.0,937.0,742.0,583.0,416.0,145.0,29.0,7.0
157,계동,2015.0,4837.0,278.0,470.0,567.0,748.0,883.0,708.0,582.0,426.0,139.0,29.0,7.0
158,계동,2016.0,4635.0,263.0,417.0,538.0,704.0,841.0,702.0,567.0,413.0,156.0,27.0,7.0
159,계동,2017.0,4531.0,248.0,390.0,539.0,626.0,829.0,725.0,537.0,432.0,171.0,27.0,7.0
160,계동,2018.0,4429.0,227.0,374.0,518.0,601.0,795.0,724.0,546.0,442.0,156.0,39.0,7.0
161,계동,2019.0,4383.0,217.0,357.0,485.0,598.0,783.0,719.0,574.0,436.0,170.0,35.0,9.0
162,계동,2020.0,4325.0,201.0,343.0,495.0,572.0,768.0,685.0,588.0,436.0,189.0,38.0,10.0
163,계동,2021.0,4088.0,171.0,320.0,475.0,535.0,694.0,709.0,567.0,391.0,195.0,31.0,0.0
164,계동,2022.0,3941.0,168.0,297.0,445.0,511.0,655.0,681.0,572.0,376.0,203.0,33.0,0.0
165,고덕동,2012.0,17760.5,1481.0,2321.5,2605.0,2669.0,3195.0,3102.5,1332.5,684.0,309.5,50.5,10.0
166,고덕동,2013.0,17375.5,1442.0,2178.5,2513.0,2543.5,3062.0,3139.0,1422.5,705.5,302.5,56.5,10.5
167,고덕동,2014.0,16812.0,1378.5,2010.0,2386.5,2442.0,2858.5,3106.0,1536.5,703.0,323.0,57.0,11.0
168,고덕동,2015.0,12793.5,1099.5,1486.0,1673.5,1844.0,2212.0,2260.0,1286.0,572.5,294.0,54.5,11.5
169,고덕동,2016.0,12411.0,1043.5,1371.5,1596.0,1733.5,2104.5,2217.0,1385.5,588.0,304.0,54.0,13.5
170,고덕동,2017.0,17798.5,1954.0,1981.0,2054.5,2865.5,3137.5,2777.5,1838.0,759.5,349.0,66.5,15.5
171,고덕동,2018.0,17454.0,1864.0,2006.5,1934.0,2665.0,3173.0,2690.0,1888.5,802.0,343.5,72.5,15.0
172,고덕동,2019.0,23105.0,2717.5,2561.5,2414.0,3715.0,4260.0,3345.0,2559.5,1031.0,391.0,96.0,14.5
173,고덕동,2020.0,24209.0,2816.5,2736.5,2461.5,3774.5,4634.5,3383.5,2781.5,1098.5,400.5,105.0,16.5
174,고덕동,2021.0,23239.0,2582.0,2762.5,2204.5,3270.0,4613.0,3284.5,2876.5,1131.5,420.5,91.5,2.5
175,고덕동,2022.0,23204.0,2417.5,2944.0,2093.0,3052.5,4712.5,3316.0,2899.5,1249.0,433.5,83.5,3.0
176,고척동,2012.0,28253.0,2605.0,3318.0,3700.5,4795.0,4844.0,4509.0,2662.5,1399.5,371.0,44.5,4.0
177,고척동,2013.0,28164.0,2538.5,3207.0,3688.5,4570.5,4920.0,4550.5,2754.0,1496.0,390.5,45.0,3.5
178,고척동,2014.0,27822.0,2392.0,3049.5,3686.5,4350.0,4847.5,4560.5,2878.5,1570.5,431.5,51.5,4.0
179,고척동,2015.0,27635.0,2359.5,2823.5,3704.0,4209.0,4700.0,4576.0,3092.0,1618.5,494.0,54.5,4.0
180,고척동,2016.0,27421.5,2228.0,2674.5,3721.5,3980.0,4684.5,4570.5,3265.5,1696.5,542.0,53.5,5.0
181,고척동,2017.0,27070.5,2106.0,2570.0,3683.0,3756.5,4558.0,4545.0,3365.0,1828.5,589.0,64.5,5.0
182,고척동,2018.0,26551.5,1945.5,2450.0,3583.0,3565.5,4324.5,4569.5,3460.0,1928.0,645.0,76.0,4.5
